	metric	n_neighbors	cases_found	cases_not_found	avg_rank
0	cosine	10	14	20	2.0
1	cosine	15	15	19	3.0
2	cosine	20	16	18	4.0
3	euclidean	10	14	20	2.0
4	euclidean	15	15	19	3.0
5	euclidean	20	16	18	4.0
6	cityblock	10	14	20	1.0
7	cityblock	15	16	18	2.0
8	cityblock	20	17	17	3.0
