	algo_name	sim_name	is_user_based	rmse	mae	mse	fcp
0	knn_basic	cosine	True	1.0055131407169886	0.7749225038111601	1.0110566761545425	0.6526627279091779
1	knn_basic	cosine	False	1.000582736030667	0.7783688978587472	1.0011658116426152	0.4544786643797327
2	knn_basic	pearson	True	1.0144771754926643	0.7830238520812972	1.029163939595574	0.6524386923098212
3	knn_basic	pearson	False	0.9960268797700005	0.7713408633503348	0.9920695452243631	0.48618293279045316
4	knn_with_means	cosine	True	0.9331665812331102	0.713306124133871	0.870799868330291	0.6365622968579789
5	knn_with_means	cosine	False	0.9368117842117881	0.7158044004274187	0.8776163190380738	0.6400643386070551
6	knn_with_means	pearson	True	0.9386537538236978	0.7135304373317405	0.881070869567319	0.6461889498842589
7	knn_with_means	pearson	False	0.9407710222939073	0.7133122867878755	0.8850501163879235	0.6446561829610744
8	knn_with_zscore	cosine	True	0.9309066887110609	0.7075306165221201	0.866587263086992	0.6381317975232275
9	knn_with_zscore	cosine	False	0.9417029097712402	0.7181139753128772	0.8868043702716204	0.6379310357000343
10	knn_with_zscore	pearson	True	0.9360677875230436	0.7068635516044388	0.8762229028382861	0.6453934369148998
11	knn_with_zscore	pearson	False	0.9438661928044552	0.7153452990443255	0.8908833899191769	0.6451407335613822
