	algo_name	sim_name	is_user_based	rmse	mae	mse	fcp
0	knn_basic	cosine	True	0.9969508827171227	0.7715393993346913	0.9939110625504503	0.6517192694718602
1	knn_basic	cosine	False	0.9928567420902813	0.772892177813777	0.9857645103141273	0.4555674003451748
2	knn_basic	pearson	True	1.0076198192039076	0.7811549515620729	1.0152977000525156	0.6542944587210036
3	knn_basic	pearson	False	0.9891316435884142	0.7658001237094066	0.9783814083479178	0.4934362878068387
4	knn_with_means	cosine	True	0.9218166035733556	0.7063313725014101	0.8497458506235169	0.6405974392211118
5	knn_with_means	cosine	False	0.9258207002649622	0.7098979938904936	0.8571439690391051	0.6396434922850929
6	knn_with_means	pearson	True	0.9279272982490206	0.707458766014519	0.861049070835727	0.6477171161044332
7	knn_with_means	pearson	False	0.929662454677232	0.7092218633476224	0.8642722796364964	0.6415476101193827
8	knn_with_zscore	cosine	True	0.9199262586193981	0.7010459079136125	0.8462643212974837	0.6414636500346724
9	knn_with_zscore	cosine	False	0.9312961171646191	0.7127991576746325	0.8673124578458961	0.6359331234010943
10	knn_with_zscore	pearson	True	0.9242752057147166	0.7004435658626961	0.8542846558989816	0.6478842044804223
11	knn_with_zscore	pearson	False	0.9333405912150273	0.7116647325793466	0.8711246592096168	0.6402142019364622
